Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue ID,Distance,Venue Latitude,Venue Longitude,Venue Category,like_counts,rating,photo_count,reasons_count,tips_count
Etobicoke,43.64436000000007,-79.56712999999995,Quiznos,4b806172f964a5201a6d30e3,288,43.642067700000005,-79.5654499,Sandwich Place,3,Null,2,0,0
Etobicoke,43.64436000000007,-79.56712999999995,ARA Electrical Contractors & Consultants Inc,5acd14da112c6c556df1655e,334,43.645609648889256,-79.56335306167604,Home Service,0,Null,3,0,0
Etobicoke,43.64436000000007,-79.56712999999995,Sunglass Hut,4e9c99a47ed1753a26a756fd,441,43.640654765716455,-79.56517580719868,Accessories Store,0,Null,1,0,0
Etobicoke,43.64436000000007,-79.56712999999995,Rabba,4e64eed61838ad3d0fdefaeb,449,43.647096226696384,-79.56302619876107,Convenience Store,3,Null,2,0,0
Etobicoke,43.64436000000007,-79.56712999999995,Delimark Cafe,4f8dcf667beb36431904a637,453,43.64711641979496,-79.56299028007844,Café,3,Null,1,0,3
Etobicoke,43.64436000000007,-79.56712999999995,Four Seasons Place,4d651253d8ce2c0f44c90111,452,43.64712847934407,-79.56300873829086,Hotel,1,Null,0,0,1
Etobicoke,43.64436000000007,-79.56712999999995,Broadacres Park,4c53b4d806901b8d4461934a,454,43.64745861454704,-79.57080026697012,Park,1,Null,2,0,0
Etobicoke,43.64436000000007,-79.56712999999995,Bâton Rouge Steakhouse & Bar,51297964e4b0067ba73c38ab,477,43.6420355963772,-79.56214119794103,Restaurant,0,Null,0,0,0
Scarborough,43.772200000000055,-79.25665999999995,St. Andrews Fish & Chips,4b2d1251f964a520a4cd24e3,324,43.771864612301854,-79.25264476539711,Fish & Chips Shop,14,7.9,23,0,6
Scarborough,43.772200000000055,-79.25665999999995,Disney Store,5085ec39e4b0b1ead2eb0818,371,43.775537,-79.256833,Toy / Game Store,21,7.6,28,0,3
Scarborough,43.772200000000055,-79.25665999999995,Shoppers Drug Mart,4b608e9df964a52084ed29e3,420,43.773305,-79.251662,Pharmacy,19,7.6,7,0,3
Scarborough,43.772200000000055,-79.25665999999995,SEPHORA,4c059bcd7083952134097bce,334,43.775016883668386,-79.25810909472257,Cosmetics Shop,8,7.3,5,0,2
Scarborough,43.772200000000055,-79.25665999999995,St. Louis Bar & Grill,4af9f658f964a520981522e3,316,43.77415728200111,-79.25380776403621,Bar,37,7.2,47,1,26
Scarborough,43.772200000000055,-79.25665999999995,DAVIDsTEA,4c4bbc646e209521b57e16ec,486,43.77632000767913,-79.2586876451969,Tea Room,9,7.4,4,0,3
Scarborough,43.772200000000055,-79.25665999999995,American Eagle Outfitters,4c3c8e1f282203bb4ca3fcda,445,43.776011600000004,-79.25833370000001,Clothing Store,9,7.3,2,0,2
Scarborough,43.772200000000055,-79.25665999999995,Hot Topic,4c648dbdf07e2d7fc4aa8f50,375,43.77545002191434,-79.2579286531551,Clothing Store,6,7.1,4,0,3
Scarborough,43.772200000000055,-79.25665999999995,Tommy Hilfiger,4d1127d65f3376eb86661386,428,43.776015461034575,-79.25736884156035,Clothing Store,7,7.2,0,0,4
Scarborough,43.772200000000055,-79.25665999999995,Chipotle Mexican Grill,57f5233a498ea7b30b08d1eb,482,43.77641,-79.25806899999999,Mexican Restaurant,3,7.2,0,0,1
Scarborough,43.772200000000055,-79.25665999999995,Coliseum Scarborough Cinemas,4ad4c062f964a520dbf720e3,430,43.77599527957654,-79.25564907498644,Movie Theater,189,6.9,205,1,26
Scarborough,43.772200000000055,-79.25665999999995,Jimmy The Greek,4b68adbef964a5209d862be3,326,43.775111793455885,-79.2571186919894,Greek Restaurant,5,6.7,3,0,4
Scarborough,43.772200000000055,-79.25665999999995,lululemon athletica,4b11c591f964a520538423e3,395,43.7755173,-79.2584229,Clothing Store,4,6.7,2,0,3
Scarborough,43.772200000000055,-79.25665999999995,Scarborough Town Centre,4adc7854f964a5207d2c21e3,347,43.775277114938504,-79.25741288784752,Shopping Mall,384,6.5,380,1,89
Scarborough,43.772200000000055,-79.25665999999995,GAP,4b674f73f964a52039472be3,313,43.77498163421295,-79.25728484314126,Clothing Store,5,6.4,3,0,0
Scarborough,43.772200000000055,-79.25665999999995,GAP,4b674f73f964a52039472be3,313,43.77498163421295,-79.25728484314126,Clothing Store,5,6.3,4,0,2
Mississauga,43.587260000000065,-79.64493999999995,GAP,4b2a7e21f964a52034aa24e3,472,43.59139507673574,-79.64362621307373,Clothing Store,5,6.4,3,0,0
Mississauga,43.587260000000065,-79.64493999999995,GAP,4b2a7e21f964a52034aa24e3,472,43.59139507673574,-79.64362621307373,Clothing Store,5,6.3,4,0,2
