Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue ID,Distance,Venue Latitude,Venue Longitude,Venue Category
West Philadelphia,40.05313171986969,-75.02851114495112,Cerruti's Deli,4df2536f45dd4e26933c3810,422,40.0568571,-75.02758478,Deli / Bodega
West Philadelphia,40.05313171986969,-75.02851114495112,Jerry Gregory - State Farm Insurance Agent,5c1ac4d00457b7002c2f159c,422,40.056931,-75.028508,Insurance Office
West Philadelphia,40.05313171986969,-75.02851114495112,Jerry Gregory - State Farm Insurance Agent,52158a1111d2587a7a48ccf2,424,40.0569469,-75.0285088,Insurance Office
West Philadelphia,40.05313171986969,-75.02851114495112,"Calamari Grill, Catering By Tony",53335cf9498e78ea1650db55,424,40.056881,-75.027585,Deli / Bodega
West Philadelphia,40.05313171986969,-75.02851114495112,Holme Style Pizza,4e7b7c29ae60fe555c98d103,425,40.056896,-75.027662,Pizza Place
West Philadelphia,40.05313171986969,-75.02851114495112,Hemingway's Tavern,40b28c80f964a5204bfa1ee3,428,40.05688197203884,-75.02735281956014,Bar
West Philadelphia,40.05313171986969,-75.02851114495112,Holme Circle Flower Shop,513b5934e4b0c7db978114e5,450,40.057178,-75.028632,Flower Shop
West Philadelphia,40.05313171986969,-75.02851114495112,The Freshworks Holme Avenue,5dc0faffcf8e7a000899f03b,450,40.057029,-75.02993,Sandwich Place
West Philadelphia,40.05313171986969,-75.02851114495112,Rita's Italian Ice & Frozen Custard,4aa6709cf964a520e54920e3,453,40.05720264946642,-75.02877439540654,Ice Cream Shop
West Philadelphia,40.05313171986969,-75.02851114495112,Loosen Up!,599a03d1018cbb2372f8398a,456,40.057055,-75.030084,Massage Studio
West Philadelphia,40.05313171986969,-75.02851114495112,Taqueria Del Norte,5bd8fca189e490002c17caf9,473,40.057148,-75.030334,Taco Place
West Philadelphia,40.05313171986969,-75.02851114495112,North East Wellness Connection,4c47605d417b20a1bb65dda9,475,40.057165000000005,-75.030348,Gym
