Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue ID,Distance,Venue Latitude,Venue Longitude,Venue Category
North York,43.768260000000055,-79.41262999999998,Wako Sushi + Bar,5077025ce4b05aefca37d9f9,286,43.77080606720809,-79.41313811956255,Japanese Restaurant
North York,43.768260000000055,-79.41262999999998,MYMY Chicken,58702ed20bc55b0a672ae4e6,419,43.76465797243293,-79.41109575340602,Fried Chicken Joint
North York,43.768260000000055,-79.41262999999998,Bake Code 烘焙密碼,55d4174a498e4282465852fd,484,43.763968809039525,-79.41164099097621,Bakery
North York,43.768260000000055,-79.41262999999998,Gol,4b6f559df964a520f4eb2ce3,460,43.76424,-79.411265,Middle Eastern Restaurant
North York,43.768260000000055,-79.41262999999998,Symposium Cafe Restaurant & Lounge,537befcc498edb1da559269b,319,43.77107544003332,-79.41339624610163,Restaurant
Downtown Toronto,43.65820000000008,-79.3683200038951,Sukhothai,4ada57aff964a520972121e3,214,43.658444465539525,-79.36568085121628,Thai Restaurant
Downtown Toronto,43.65820000000008,-79.3683200038951,I Love Churros,50899387e4b055a756b254fc,221,43.65836361668554,-79.36558277878224,Food Truck
Downtown Toronto,43.65820000000008,-79.3683200038951,Ontario Restaurant,4ae666dbf964a520dca621e3,76,43.65888321199789,-79.36836906142996,Diner
Downtown Toronto,43.65820000000008,-79.3683200038951,Schnitzel Queen,561ffc99498e1468dac63cdd,475,43.65423906004429,-79.37053284604036,German Restaurant
Downtown Toronto,43.65820000000008,-79.3683200038951,Figs Breakfast & Lunch,4af59046f964a520e0f921e3,416,43.65567455427388,-79.3645032892494,Breakfast Spot
Downtown Toronto,43.65820000000008,-79.3683200038951,King's Place647-352-0786,548bb041498eff940205b644,209,43.658278219451866,-79.37092509166455,Pakistani Restaurant
Downtown Toronto,43.65820000000008,-79.3683200038951,Berkeley Church,4ade8ea8f964a5205a7621e3,395,43.65512324174501,-79.36587330410705,Event Space
Downtown Toronto,43.65820000000008,-79.3683200038951,The Yoga Lounge,4b58dd55f964a5208f6f28e3,403,43.65551522261721,-79.36495542526245,Yoga Studio
Downtown Toronto,43.65820000000008,-79.3683200038951,FAMO Sandwiches,589b45bfaf5c141e6c9e0c3b,470,43.654064,-79.369515,Sandwich Place
Downtown Toronto,43.65820000000008,-79.3683200038951,Smoke's Poutinerie,4ada0565f964a520601d21e3,423,43.65737935238092,-79.37345459540276,Poutine Place
Downtown Toronto,43.65820000000008,-79.3683200038951,Paintbox Bistro,505bacb2e4b0474d876eb78c,485,43.660050475903624,-79.36285470971839,Restaurant
Downtown Toronto,43.65820000000008,-79.3683200038951,The Beer Store,4b6dde8bf964a5203a972ce3,392,43.6613878,-79.370403,Beer Store
Downtown Toronto,43.65820000000008,-79.3683200038951,It's Jenny Café,506d879ae4b087726c8cdd45,419,43.66193794313605,-79.36898910730264,Café
Downtown Toronto,43.65820000000008,-79.3683200038951,Souvlaki Express,4bc39c914cdfc9b6f29c9721,427,43.65558391537734,-79.36443816909016,Greek Restaurant
Downtown Toronto,43.65820000000008,-79.3683200038951,Moss Park Arena,4bca1f87b6c49c74e3d28f91,386,43.65488712314853,-79.36977129447679,Skating Rink
Etobicoke,43.64436000000006,-79.56712999999996,Tim Hortons,50d4866ee4b0c1554d94fef7,57,43.6447049,-79.5676593,Coffee Shop
Etobicoke,43.64436000000006,-79.56712999999996,Farmer's Market Etobicoke,4c3876b80a71c9b6aca240c9,163,43.64306101960027,-79.56619097935341,Farmers Market
Etobicoke,43.64436000000006,-79.56712999999996,Burnhamthorpe and The West Mall,4c23f7c3136d20a1c41fe161,47,43.644786390018126,-79.5670645669674,Intersection
Etobicoke,43.64436000000006,-79.56712999999996,Livingston International,4e9ec1947ee511e1b7c4d8f0,147,43.645688,-79.567092,Transportation Service
Etobicoke,43.64436000000006,-79.56712999999996,W.E. Kitchen,4f7b19c1e4b0d859b68a843e,79,43.64506997977582,-79.56702242428678,Breakfast Spot
Etobicoke,43.64436000000006,-79.56712999999996,West Mall Rink,4b5a60bdf964a5202dc128e3,258,43.64213754699409,-79.56621841628123,Skating Rink
