Venue,like_counts,rating,photo_count,reasons_count,tips_count
Sahara Enterprise Inc.,0,Null,0,0,0
Crowley Foods,0,Null,0,0,0
Flyers Skate Zone,17,5.6,21,0,6
Lunch Walks,0,Null,0,0,0
A-Plus Garage Door Doctor,0,Null,0,0,0
Palmer Playground,2,Null,1,0,1
Barclay Caterers,0,Null,0,0,0
Gear Zone,0,Null,0,0,0
The Fly Grille,0,Null,0,0,0
Morrell Park Locksmith,0,Null,0,0,1
McDonald Uniforms,2,Null,1,0,0
Prebellli Industries,0,Null,0,0,0
Penn Emblem Company,0,Null,0,0,0
Movies Unlimited,0,Null,0,0,0
Jerry's Curb Service,0,Null,0,0,0
Title Unknown (metal sculpture),0,Null,0,0,0
Sahara Enterprise Inc.,0,Null,0,0,0
Crowley Foods,0,Null,0,0,0
Flyers Skate Zone,17,5.6,21,0,6
Lunch Walks,0,Null,0,0,0
A-Plus Garage Door Doctor,0,Null,0,0,0
Palmer Playground,2,Null,1,0,1
Barclay Caterers,0,Null,0,0,0
Gear Zone,0,Null,0,0,0
The Fly Grille,0,Null,0,0,0
Morrell Park Locksmith,0,Null,0,0,1
McDonald Uniforms,2,Null,1,0,0
Prebellli Industries,0,Null,0,0,0
Penn Emblem Company,0,Null,0,0,0
Movies Unlimited,0,Null,0,0,0
Jerry's Curb Service,0,Null,0,0,0
Title Unknown (metal sculpture),0,Null,0,0,0
